

[0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 18, 18, 198, 324, 702, 954, 1332, 1584, 1962]
6.0
1962 x 1962 matrix
         66839812 function calls (66835249 primitive calls) in 97.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 __init__.py:45(<module>)
       84    0.002    0.000    0.013    0.000 typing.py:922(__new__)
        1    0.000    0.000    0.013    0.013 __init__.py:124(<module>)
        2    0.000    0.000    0.013    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
       40    0.000    0.000    0.012    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.012    0.012 csr.py:1(<module>)
    87770    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.011    0.011 compressed.py:1(<module>)
   229/40    0.003    0.000    0.011    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.010    0.010 __init__.py:10(<module>)
       40    0.000    0.000    0.010    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.010    0.010 subprocess.py:42(<module>)
        1    0.000    0.000    0.010    0.010 py3k.py:12(<module>)
        1    0.009    0.009    0.010    0.010 stvec_gen.py:2(stvec_gen)
      116    0.002    0.000    0.010    0.000 abc.py:132(__new__)
      337    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        2    0.000    0.000    0.010    0.005 shape_base.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:95(<module>)
        1    0.000    0.000    0.009    0.009 _util.py:1(<module>)
      862    0.004    0.000    0.009    0.000 functools.py:44(update_wrapper)
   106/40    0.000    0.000    0.009    0.000 sre_parse.py:407(_parse_sub)
   114/42    0.003    0.000    0.008    0.000 sre_parse.py:470(_parse)
    65/58    0.000    0.000    0.008    0.000 typing.py:676(inner)
        1    0.000    0.000    0.008    0.008 __init__.py:3(<module>)
     2593    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     2225    0.002    0.000    0.008    0.000 enum.py:267(__call__)
       94    0.000    0.000    0.008    0.000 typing.py:133(__new__)
    12459    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.008    0.008 context.py:1(<module>)
       38    0.000    0.000    0.007    0.000 typing.py:1099(__getitem__)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
      286    0.002    0.000    0.007    0.000 overrides.py:72(verify_matching_signatures)
      266    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1223    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.007    0.007 inspect.py:27(<module>)
        7    0.000    0.000    0.006    0.001 enum.py:604(_convert)
     1228    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 npyio.py:1(<module>)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:3(<module>)
      467    0.001    0.000    0.006    0.000 deprecation.py:9(wrap)
        1    0.000    0.000    0.006    0.006 __init__.py:71(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 reduction.py:10(<module>)
        1    0.000    0.000    0.006    0.006 secrets.py:7(<module>)
        1    0.000    0.000    0.006    0.006 matfuncs.py:3(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:9(<module>)
      532    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 defchararray.py:17(<module>)
      908    0.002    0.000    0.005    0.000 enum.py:803(__and__)
        1    0.000    0.000    0.005    0.005 mio.py:3(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
      616    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.005    0.005 __init__.py:628(<module>)
        1    0.000    0.000    0.005    0.005 threading.py:1(<module>)
      889    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x9d12c0}
      584    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
     2593    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       26    0.000    0.000    0.004    0.000 _basic.py:16(_dispatch)
       26    0.000    0.000    0.004    0.000 _backend.py:102(generate_multimethod)
        7    0.000    0.000    0.004    0.001 enum.py:366(_create_)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.004    0.004 _datasource.py:36(<module>)
      350    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
       26    0.002    0.000    0.004    0.000 _backend.py:216(get_defaults)
        1    0.000    0.000    0.004    0.004 hmac.py:4(<module>)
      318    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      266    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.004    0.004 scimath.py:17(<module>)
      281    0.001    0.000    0.004    0.000 function_base.py:460(add_newdoc)
      383    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
     4708    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:151(<module>)
        8    0.001    0.000    0.003    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
      733    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3546    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
      423    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 _dtype_ctypes.py:24(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:81(<module>)
      612    0.003    0.000    0.003    0.000 _inspect.py:67(getargs)
      457    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 misc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:192(<module>)
        1    0.000    0.000    0.003    0.003 basic.py:7(<module>)
1071/1029    0.002    0.000    0.003    0.000 typing.py:1164(__setattr__)
        5    0.000    0.000    0.003    0.001 _datasource.py:231(open)
       91    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      266    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
       33    0.000    0.000    0.002    0.000 inspect.py:2183(_signature_from_callable)
        5    0.000    0.000    0.002    0.000 _datasource.py:577(open)
      733    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      337    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.002    0.002 _realtransforms.py:1(<module>)
        4    0.000    0.000    0.002    0.001 warnings.py:119(filterwarnings)
        1    0.000    0.000    0.002    0.002 __init__.py:8(<module>)
      562    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
     2218    0.002    0.000    0.002    0.000 enum.py:517(__new__)
     1502    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
        1    0.000    0.000    0.002    0.002 _helper.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
     3551    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
       33    0.001    0.000    0.002    0.000 inspect.py:2102(_signature_from_function)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:29(<module>)
       91    0.002    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
      733    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       26    0.000    0.000    0.002    0.000 inspect.py:3063(signature)
       26    0.000    0.000    0.002    0.000 inspect.py:2811(from_callable)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
        7    0.000    0.000    0.002    0.000 enum.py:625(<listcomp>)
        1    0.000    0.000    0.002    0.002 __init__.py:19(<module>)
        1    0.000    0.000    0.002    0.002 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 mio5.py:8(<module>)
        7    0.000    0.000    0.002    0.000 decorator.py:202(create)
        5    0.000    0.000    0.002    0.000 _datasource.py:427(_findfile)
     4466    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.002    0.000 _threadsafety.py:54(decorator)
        1    0.000    0.000    0.002    0.002 lil.py:2(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:52(<module>)
     2859    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
